id,title,sector,status,subsector,co2e,diagramDescription,transitionLabel,transitionUnit,emissionsLatestValue,emissionsLatestYear,modelType,outcomeLatestValue,outcomeLatestYear,targetLatestValue,targetDiff,targetDiffPct
b61ae7e0-6b0b-4ecd-88eb-e853f292f714,Minskad användning av lösningsmedel,other,5.0,solvents,0.3094,Minskad användning av lösningsmedel,,"Utsläppsminskning, kton",0.3094,2022.0,custom,3.0,2019.0,36.51428571428571,-33.51428571428571,-0.9178403755868545
c0520dec-8ba7-4f16-996d-f07f4b66cbe3,Elektrifiering av tunga lastbilar,transport,5.0,freight,0.71575,Elektrifiering godstransporter,,"Transportarbete med el, Mtonkm",0.71575,2022.0,custom,413.0,2021.0,500.0,-87.0,-0.17400000000000004
c185ddbb-550c-4d9b-b243-fdf045f10cc0,Spillvärme i fjärrvärmenät,energy,5.0,electricity_and_district_heating,0.3699,Spillvärme till fjärrvärme,,"Spillvärme, GWh",0.3699,2022.0,custom,4657.0,2022.0,6750.342857142858,-2093.3428571428576,-0.3101091161507141
c69104a5-5e6a-4f24-8cd6-90dd42a3d5b5,Övergång från flyg till tåg,transport,5.0,other_transport,0.0372,Andel persontransporter med tåg,,"Andel järnvägstransporter, %",0.0372,2022.0,custom,10.7,2019.0,10.4,0.29999999999999893,0.028846153846153744
c708f353-fd8b-4748-9437-6daf0ba135b4,Torv som ersatts med biobränsle,energy,5.0,electricity_and_district_heating,0.475,Andel torv ersatts med biobränsle,,"Torv som ersatts, procent",0.475,2022.0,custom,92.51,2022.0,24.0,68.51,2.8545833333333337
c90b0061-9323-4080-a788-6866776cdd53,Biodrivmedel för arbetsmaskiner,other,5.0,machinery,1.42,Biodrivmedel i arbetsmaskiner,,"Biodrivmedel, TWh",1.42,2022.0,custom,3.49,2019.0,2.592857142857143,0.8971428571428572,0.34600550964187327
ca2374a9-b54b-44a9-9695-3344cc257b30,Biodrivmedel för inrikes flyg,transport,5.0,other_transport,0.186,Andel biobränsle,,"Andel biobränsle, %",0.186,2022.0,custom,1.3,2022.0,2.0,-0.7,-0.35
cc3d3604-ff91-400b-937d-20aec0fd28bc,Ökad andel kollektivtrafik,transport,5.0,mobility,0.71484,Andel resor genom kollektivtrafik,,"Andel resor med kollektivtrafik, %",0.71484,2022.0,custom,10.34,2022.0,12.732,-2.3919999999999995,-0.18787307571473455
d04e12da-5f81-4013-b68a-a0c65718c05d,CCS/CCU: Koldioxidfångare,industry,5.0,chemical,0.58,Mängd insamlad och lagrad koldioxid,,"Andel insamlad koldioxid, %",0.58,2022.0,custom,0.0,2022.0,0.0,0.0,
d069b823-0002-4102-9b15-5d7e35d0b1f8,Fossilfri elproduktion,energy,5.0,electricity_and_district_heating,1.6531,Fossilfri elproduktion,Fossilfri elproduktion,"Andel fossilfri elproduktion, procent",1.6531,2022.0,custom,98.8,2022.0,96.7,2.0999999999999943,0.02171664943123064
d2d78ac8-2b95-403b-a781-d30f68860b0e,Effektivare växtförädling och odlingssystem,agriculture,5.0,agricultural_land,0.39,Effektivare växtförädling,,,0.39,2022.0,custom,,,,,
e24f65a4-273f-40f4-9191-fd892dc0a28d,Biobränslen för värme och elproduktion,energy,5.0,electricity_and_district_heating,0.9456,Andel biobränsle för värme- och elproduktion,,"Andel förnybara bränslen, procent",0.9456,2022.0,custom,96.6,2022.0,80.71942857142857,15.880571428571429,0.19673790696521998
e28221c7-ec78-46ee-a85f-21009630f6f4,Fodertillsatser,agriculture,5.0,animal_digestion,0.996,Fodertillsatser,,"Andel fodertillsatser, %",0.996,2022.0,custom,0.0,2020.0,0.0,0.0,
e2df05b7-ba7f-4d02-92f1-bc5246b3be24,Minskade läckage,other,5.0,waste,0.705,,,,0.705,2022.0,custom,,,,,
e576a22d-538b-4d71-8d22-29935fcca09b,Kvarvarande utsläpp,industry,0.0,,0.0,Kvarvarande utsläpp,,,0.3268,2022.0,custom,,,,,
e5e6a0c8-1c61-4e87-9528-440ba51e4b68,Effektivare persontransporter,transport,5.0,mobility,0.2553,Antal personer per bil,,Antal personer per bil,0.2553,2022.0,custom,2.114,2023.0,2.188111111111111,-0.07411111111111124,-0.03386990301122228
e824f69d-f682-490b-8155-1dce864ddc11,Ökad plaståtervinning,industry,5.0,chemical,0.232,Ökad plaståtervinning,,"Andel återvunnen plast, procent",0.232,2022.0,custom,4.0,2020.0,10.428571428571427,-6.428571428571427,-0.6164383561643836
e9235b89-f71e-46a5-a549-e0b5672b6422,Kvarvarande utsläpp,agriculture,5.0,animal_digestion,0.0,,,,1.494,2022.0,custom,,,,,
eb059e10-02b6-4f18-a7ad-bab08d0e6351,Biogas i kommersiella lokaler,energy,5.0,local_heating,0.1928,Antal konverterade naturgaspannor,,Antal konverterade naturgaspannor,0.1928,2022.0,custom,115.0,2019.0,231.42857142857144,-116.42857142857144,-0.5030864197530864
ebb72100-0b8d-4117-b652-a7b2593c179d,Biodrivmedel inrikes sjöfart,transport,5.0,other_transport,0.3864,Andel biodrivmedel,,"Andel biodrivmedel, %",0.3864,2022.0,custom,5.1,2020.0,24.75,-19.65,-0.793939393939394
ed2b3c8c-f81d-491a-be41-1f653735acae,Förändrad produktion,agriculture,5.0,animal_digestion,0.498,,Antal nötkreatur inom svenskt jorbruk,Antal nötkreatur,0.498,2022.0,custom,1449316.0,2022.0,1480354.6857142858,-31038.68571428582,-0.020967060133504023
f4c01ab7-ee6a-4a03-8f85-1597c57a0ee4,Minskad andel fossilt avfall,energy,5.0,electricity_and_district_heating,0.267,Förnybar andel av avfall till energiåtervinning,,"Andel förnybart, procent",0.267,2022.0,custom,60.12,2021.0,66.79714285714286,-6.6771428571428615,-0.09996150391376879
f5f3705a-2bad-40fa-ae76-4ca172fedef5,Biobränsle för pappers och massaindustri,industry,5.0,paper_and_pulp,0.696,Andel biobränsle,,Andel biobränsle,0.696,2022.0,custom,96.03,2020.0,94.27857142857142,1.7514285714285762,0.018577164936737667
fe668ba6-0c4a-49c0-a088-66c3aa9e6d93,Kvarvarande utsläpp,agriculture,0.0,,0.0,,,,0.24,2022.0,custom,,,,,
