id,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045
Andel stål som produceras med vätgasprocess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,65.0,65.0,65.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Biobränsle för stålproduktion,0.0,0.158707636,0.189562406,0.226415733,0.270433812,0.323009563,0.385806703,0.460812401,0.550400154,0.657404899,0.785212718,0.937867992,1.12020138,1.337982683,1.598103422,1.908794921,2.279888772,2.723127957,3.25253844,3.88487301,4.640141411,5.542243533,6.619725705,7.906684026,9.443843307,11.27984577,13.47279032,16.09207099,19.22057293,22.95729517,27.42048343,32.75137188,39.11865241,46.72381273,55.8075123,66.65719786
Andel elektrifiering,0.0,0.95,1.9,2.86,3.81,4.76,5.71,6.67,7.62,8.57,9.52,10.48,11.43,12.38,13.33,14.29,15.24,16.19,17.14,18.1,19.05,20.0,20.95,21.9,22.86,23.81,24.76,25.71,26.67,27.62,28.57,29.52,30.48,31.43,32.38,33.33
Mängd insamlad och lagrad koldioxid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.646,1.646,1.646,1.646,1.646,1.646,1.646,1.646,1.646,1.646,1.646,1.646,1.646,1.646,1.646,1.646
Andel elektrifierade processer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,16.666666666666668,25.0,33.333333333333336,41.66666666666667,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Förnybar vätgasproduktion,,,,,,,,,,,0.0,1082.0,2164.0,3246.0,4328.0,5410.0,6492.0,7574.0,8656.0,9738.0,10820.0,11902.0,12984.0,14066.0,15148.0,16230.0,17311.0,18393.0,19475.0,20557.0,21639.0,22721.0,23803.0,24885.0,25967.0,27049.0
Andel förnybara råvaror,0.0,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333333,1.0,1.25,1.5,1.75,2.0,3.0,4.0,5.0,6.0,10.0,12.0,14.0,16.0,18.0,20.0,25.333333333333332,30.666666666666664,36.0,41.33333333333333,46.666666666666664,52.0,57.33333333333333,62.666666666666664,68.0,73.33333333333333,78.66666666666666,84.0,89.33333333333333,94.66666666666666,100.0
Andel förnybar råvara,0.0,2.857142857142857,5.714285714285714,8.571428571428571,11.428571428571429,14.285714285714286,17.142857142857142,20.0,22.857142857142858,25.714285714285715,28.571428571428573,31.42857142857143,34.285714285714285,37.142857142857146,40.0,42.85714285714286,45.714285714285715,48.57142857142857,51.42857142857143,54.285714285714285,57.142857142857146,60.0,62.85714285714286,65.71428571428572,68.57142857142857,71.42857142857143,74.28571428571429,77.14285714285714,80.0,82.85714285714286,85.71428571428572,88.57142857142857,91.42857142857143,94.28571428571429,97.14285714285714,100.0
Ökad plaståtervinning,45300.0,53291.42857142857,61282.857142857145,69274.28571428571,77265.71428571429,85257.14285714286,93248.57142857142,101240.0,109231.42857142858,117222.85714285714,125214.28571428571,133205.7142857143,141197.14285714284,149188.57142857142,157180.0,165171.42857142858,173162.85714285716,181154.2857142857,189145.7142857143,197137.14285714287,205128.57142857142,213120.0,221111.42857142858,229102.85714285716,237094.2857142857,245085.7142857143,253077.14285714287,261068.57142857142,269060.0,277051.4285714286,285042.85714285716,293034.2857142857,301025.7142857143,309017.14285714284,317008.5714285714,325000.0
Mängd insamlad och lagrad koldioxid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Andel biobränsle,91.99,92.21885714285713,92.44771428571428,92.67657142857142,92.90542857142857,93.13428571428571,93.36314285714285,93.592,93.82085714285714,94.04971428571429,94.27857142857142,94.50742857142856,94.73628571428571,94.96514285714285,95.194,95.42285714285714,95.65171428571428,95.88057142857143,96.10942857142857,96.33828571428572,96.56714285714285,96.79599999999999,97.02485714285714,97.25371428571428,97.48257142857143,97.71142857142857,97.94028571428571,98.16914285714286,98.398,98.62685714285715,98.85571428571428,99.08457142857142,99.31342857142857,99.54228571428571,99.77114285714286,100.0
Andel elanvändning,30.16,30.18,30.19,30.2,30.21,30.22,30.23,30.24,30.26,30.27,30.28,30.29,30.3,30.31,30.32,30.34,30.35,30.36,30.37,30.38,30.39,30.4,30.42,30.43,30.44,30.45,30.46,30.47,30.48,30.49,30.51,30.52,30.53,30.54,30.55,30.56
Andel biobränsle,0.13,2.98,5.83,8.69,11.54,14.39,17.25,20.1,22.95,25.81,28.66,31.51,34.37,37.22,40.08,42.93,45.78,48.64,51.49,54.34,57.2,60.05,62.9,65.76,68.61,71.46,74.32,77.17,80.03,82.88,85.73,88.59,91.44,94.29,97.15,100.0
Andel primär aluminiumproduktion med inerta anoder,0.0,2.857142857142857,5.714285714285714,8.571428571428571,11.428571428571429,14.285714285714286,17.142857142857142,20.0,22.857142857142858,25.714285714285715,28.571428571428573,31.42857142857143,34.285714285714285,37.142857142857146,40.0,42.85714285714286,45.714285714285715,48.57142857142857,51.42857142857143,54.285714285714285,57.142857142857146,60.0,62.85714285714286,65.71428571428572,68.57142857142857,71.42857142857143,74.28571428571429,77.14285714285714,80.0,82.85714285714286,85.71428571428572,88.57142857142857,91.42857142857143,94.28571428571429,97.14285714285714,100.0
Andel återvinning,67.5,68.43,69.36,70.28999999999999,71.22,72.15,73.08,74.00999999999999,74.94,75.87,76.8,77.728,78.65599999999999,79.584,80.512,81.44,82.368,83.29599999999999,84.224,85.152,86.08,87.008,87.936,88.864,89.792,90.72,91.648,92.576,93.504,94.432,95.36,96.288,97.21600000000001,98.144,99.072,100.0
Andel biobränsle,51.35553834,52.74538010171429,54.135221863428576,55.52506362514286,56.91490538685714,58.30474714857143,59.69458891028572,61.084430672,62.47427243371429,63.86411419542857,65.25395595714286,66.64379771885714,68.03363948057142,69.42348124228572,70.81332300400001,72.20316476571429,73.59300652742857,74.98284828914286,76.37269005085714,77.76253181257144,79.15237357428572,80.542215336,81.93205709771429,83.32189885942857,84.71174062114287,86.10158238285715,87.49142414457143,88.88126590628572,90.27110766800001,91.6609494297143,93.05079119142857,94.44063295314285,95.83047471485715,97.22031647657144,98.61015823828572,100.0
Andel elektrifiering,56.23812294,56.655033713142856,57.07194448628571,57.48885525942857,57.90576603257143,58.32267680571428,58.73958757885714,59.156498352,59.57340912514285,59.99031989828571,60.407230671428565,60.824141444571424,61.241052217714284,61.65796299085714,62.074873763999996,62.491784537142856,62.90869531028571,63.32560608342857,63.74251685657143,64.15942762971429,64.57633840285715,64.99324917599999,65.41015994914285,65.82707072228571,66.24398149542857,66.66089226857143,67.07780304171428,67.49471381485714,67.911624588,68.32853536114285,68.74544613428571,69.16235690742857,69.57926768057143,69.99617845371428,70.41308922685714,70.83
Fodertillsatser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,12.0,16.0,20.0,24.0,28.0,32.0,36.0,40.0,44.0,48.0,52.0,56.0,60.0,64.0,68.0,72.0,76.0,80.0,84.0,88.0,92.0,96.0,100.0
Rötning till biogas,50.0,67.74285714285715,85.4857142857143,103.22857142857143,120.97142857142858,138.71428571428572,156.45714285714286,174.2,191.94285714285715,209.68571428571428,227.42857142857144,245.17142857142858,262.9142857142857,280.65714285714284,298.4,316.14285714285717,333.8857142857143,351.62857142857143,369.37142857142857,387.11428571428576,404.8571428571429,422.6,440.34285714285716,458.0857142857143,475.8285714285714,493.5714285714286,511.31428571428575,529.0571428571429,546.8,564.5428571428572,582.2857142857143,600.0285714285715,617.7714285714286,635.5142857142857,653.2571428571429,671.0
Antal laddbara bilar,190.0,366.0,1254.0,2647.0,7094.0,14545.0,26376.0,43287.0,65886.0,109042.0,170656.0,257601.0,380051.0,543251.0,763091.0,1035091.0,1339091.0,1643091.0,1947091.0,2251091.0,2555090.0,2724072.0,2893054.0,3062036.0,3231018.0,3400000.0,3470000.0,3540000.0,3610000.0,3680000.0,3750000.0,3775295.2,3800590.4,3825885.6,3851180.8,3876476.0
Biodrivmedel i diesel,5.2,7.5,9.7,12.0,14.2,16.5,18.7,21.0,23.2,25.5,27.7,30.0,34.7,39.3,44.0,48.7,53.3,58.0,62.7,67.3,72.0,73.9,75.7,77.6,79.5,81.3,83.2,85.1,86.9,88.8,90.7,92.5,94.4,96.3,98.1,100.0
Elektrifiering godstransporter,6.0,6.0,6.0,6.0,6.0,6.0,50.0,100.0,150.0,200.0,300.0,500.0,750.0,1000.0,1270.0,1500.0,1800.0,2200.0,2700.0,3400.0,4235.0,5500.0,6500.0,7000.0,7400.0,7700.0,7856.0,8013.0,8169.0,8326.0,8482.0,8639.0,8795.0,8952.0,9108.0,9265.0
Biodrivmedel till tunga lastbilar,0.94,1.21,1.48,1.75,2.03,2.3,2.57,2.84,3.11,3.39,3.66,3.93,4.2,4.47,4.75,5.02,5.29,5.56,5.83,6.11,6.38,6.53,6.64,6.74,6.81,6.86,6.89,6.91,6.91,6.89,6.86,6.81,6.75,6.68,6.59,6.48
Nitrifikationshämmare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
