id,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CCS raffinaderi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kvarvarande utsläpp,,,,,,,,,,,,,
Minskad användning av lösningsmedel,0.0,-7.0,-18.0,-11.0,-18.0,-26.0,-15.0,-17.0,3.0,3.0,,,
Ersättning av fluorerade gaser,,,,,,,,,,,,,
Vindkraft som ersätter avfallsförbränning,3.487,6.108,7.164,9.842,11.234,16.323,15.479,17.609,16.617,19.847,27.53,27.11,33.087
Andel persontransporter med tåg,9.0,9.0,9.5,9.5,9.5,9.8,9.6,9.8,10.0,10.7,,,
Antal nya lägenheter i trähus,1047.0,882.0,1267.0,1711.0,1691.0,2322.0,3598.0,3937.0,2719.0,4034.0,4110.0,,
Andel biodrivmedel,4.7,4.7,4.6,5.1,5.0,4.9,5.0,5.9,6.3,5.1,6.4,8.0,
Antal konverterade naturgaspannor,0.0,0.0,-100.0,300.0,0.0,,162.0,,150.0,115.0,,,
Andel resor genom kollektivtrafik,10.26,10.64,11.34,11.2,11.59,11.72,11.54,11.36,11.48,11.72,8.98,8.47,
